ProtocolName: Exp_idot_source_DP
DateTime: 2022-02-25 18:02:23
SoftwareProductVersion: 1.7.9
SoftwareBuildVersion: 1.7.2021.1105


Source Plate ID: Exp_IDOT_001 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301A (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	B9     	N17       	0.0575    	0.083     	2   	0   	50 nL               	184       
DMSO                	C9     	C18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	D9     	E18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	E9     	G18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	F9     	I18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	G9     	K18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	H9     	M18       	0.017     	0.0875    	2   	0   	50 nL               	184       
DMSO                	A10    	D18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	B10    	F18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	C10    	H18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	D10    	J18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	E10    	L18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	F10    	N18       	0.0215    	0.0875    	2   	0   	50 nL               	184       
DMSO                	G10    	C19       	0.017     	0.092     	2   	0   	50 nL               	184       
DMSO                	H10    	E19       	0.017     	0.092     	2   	0   	50 nL               	184       
DMSO                	A11    	I19       	0.044     	0.092     	2   	0   	50 nL               	184       
DMSO                	B11    	K19       	0.044     	0.092     	2   	0   	50 nL               	184       
DMSO                	C11    	F19       	0.0305    	0.092     	2   	0   	50 nL               	184       
DMSO                	D11    	H19       	0.0305    	0.092     	2   	0   	50 nL               	184       
DMSO                	E11    	L19       	0.0575    	0.092     	2   	0   	50 nL               	184       
DMSO                	F11    	N19       	0.0575    	0.092     	1   	1   	50 nL               	184       
DMSO                	G11    	C20       	0.017     	0.0965    	2   	0   	50 nL               	184       
DMSO                	H11    	E20       	0.017     	0.0965    	1   	1   	50 nL               	184       
DMSO                	A12    	G20       	0.035     	0.0965    	2   	0   	50 nL               	184       
DMSO                	B12    	I20       	0.035     	0.0965    	2   	0   	50 nL               	184       
DMSO                	C12    	K20       	0.035     	0.0965    	2   	0   	50 nL               	184       
DMSO                	D12    	M20       	0.035     	0.0965    	2   	0   	50 nL               	184       
DMSO                	E12    	D20       	0.0215    	0.0965    	2   	0   	50 nL               	184       
DMSO                	F12    	F20       	0.0215    	0.0965    	2   	0   	50 nL               	184       
DMSO                	G12    	H20       	0.0215    	0.0965    	2   	0   	50 nL               	184       
DMSO                	H12    	J20       	0.0215    	0.0965    	1   	1   	50 nL               	184       



Source Plate ID: Exp_IDOT_003 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301C (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	A1     	L20       	0.0575    	0.0965    	2   	0   	50 nL               	184       
DMSO                	B1     	N20       	0.0575    	0.0965    	2   	0   	50 nL               	184       
DMSO                	C1     	C21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	D1     	E21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	E1     	G21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	F1     	I21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	G1     	K21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	H1     	M21       	0.017     	0.101     	2   	0   	50 nL               	184       
DMSO                	A2     	D21       	0.0215    	0.101     	2   	0   	50 nL               	184       
DMSO                	B2     	F21       	0.0215    	0.101     	2   	0   	50 nL               	184       
